italian,dante
E tu riferirai questo quando sarai tornato sulla terra,E questo apporterai nel mondo vostro
"All'inizio di queste parole la danza delle tre luci si arrestò insieme con la dolce mescolanza del loro canto, proprio come tutti i rematori lasciano cadere i remi - con cui prima fendevano l'acqua - al fischio del timoniere, per porre fine alla fatica o evitare un pericolo","A questa voce l’infiammato giro si quietò con esso il dolce mischio che si facea nel suon del trino spiro, sì come, per cessar fatica o rischio, li remi, pria ne l’acqua ripercossi, tutti si posano al sonar d’un fischio"
"Ahimè, quanto mi turbai quando mi voltai per vedere beatrice, poiché non potevo vederla, anche se ero vicino a lei e nel mondo della beatitudine eterna","Ahi quanto ne la mente mi commossi, quando mi volsi per veder beatrice, per non poter veder, benché io fossi presso di lei, e nel mondo felice"
"Mentre io ero incerto riguardo alla mia vista spenta, dalla luce splendente che l'aveva spenta uscì una voce che attirò la mia attenzione, dicendo:","Mentr’io dubbiava per lo viso spento, de la fulgida fiamma che lo spense uscì un spiro che mi fece attento, dicendo:"
"Mentre tu riacquisti il senso della vista che hai consumato guardandomi, è opportuno che tu compensi questa mancanza esercitando la ragione","Intanto che tu ti risense de la vista che hai in me consunta, ben è che ragionando la compense"
"Dunque inizia a dire dove tende la tua anima e tieni presente che la tua vista è solo smarrita e non persa del tutto:infatti la donna che ti guida per questa regione celeste, ha nel suo sguardo la virtù con cui anania guarì san paolo imponendogli le mani","Comincia dunque e di’ ove s’appunta l’anima tua, e fa’ ragion che sia la vista in te smarrita e non defunta: perché la donna che per questa dia region ti conduce, ha ne lo sguardo la virtù ch’ebbe la man d’anania"
Io dissi:,Io dissi:
"Lei possa curare a suo piacimento, prima o dopo, i miei occhi, attraverso i quali lei entrò col fuoco di cui io ardo sempre","Al suo piacere e tosto e tardo vegna remedio a li occhi, che fuor porte quand’ella entrò col foco ond’io sempr’ardo"
"Il bene che allieta questa corte è principio e fine di tutto l'affetto che l'amore mi insegna, in modo più o meno intenso","Lo ben che fa contenta questa corte, alfa e o è di quanta scrittura mi legge amore o lievemente o forte"
"Quella stessa voce che mi aveva liberato dalla paura dell'improvviso abbagliamento, mi indusse a ragionare ancora","Quella medesma voce che paura tolta m’avea del sùbito abbarbaglio, di ragionare ancor mi mise in cura"
E disse:,E disse:
Certo ora è bene che tu chiarisca il tuo pensiero usando un setaccio più fine,Certo a più angusto vaglio ti conviene schiarar: dicer convienti chi drizzò l’arco tuo a tal berzaglio
E io:,E io:
"Questo amore si è impresso in me grazie ad argomenti filosofici e all'autorità, non appena è compreso, accende amore di sé, tanto maggiore quanto maggiore è la bontà che contiene in se stesso","Per filosofici argomenti e per autorità che quinci scende cotale amor convien che in me si ‘mprenti: ché ‘l bene, in quanto ben, come s’intende, così accende amore, e tanto maggio quanto più di bontate in sé comprende"
"Dunque la mente di tutti quelli che, amando, distinguono la verità su cui si fonda questa argomentazione, si indirizza soprattutto verso quell'essenza che supera tutte le altre in bontà, al punto che ogni bene all'infuori di essa è solo un riflesso della sua luce","Dunque a l’essenza ov’è tanto avvantaggio, che ciascun ben che fuor di lei si trova altro non è ch’un lume di suo raggio, più che in altra convien che si mova la mente, amando, di ciascun che cerne il vero in che si fonda questa prova"
Questa verità è spiegata al mio intelletto da quel filosofo che mi illustra il primo amore,Tal vero a l’intelletto mio sterne colui che mi dimostra il primo amore di tutte le sustanze sempiterne
Me lo spiega anche la voce del veridico autore che parlando di sé a mosè dice: 'io ti mostrerò ogni bene',"Sternel la voce del verace autore, che dice a moisè, di sé parlando: ‘io ti farò vedere ogne valore’"
"E me lo spieghi tu stesso, iniziando l'alto annuncio da qui alla terra, superando ogni altro messaggio","Sternilmi tu ancora, incominciando l’alto preconio che grida l’arcano di qui là giù sovra ogne altro bando"
Allora io sentii:,E io udi’:
"Attraverso l'intelletto umano e l'autorità delle sacre scritture che si accordano con esso, il principale dei tuoi amori guarda a dio",Per intelletto umano e per autoritadi a lui concorde d’i tuoi amori a dio guarda il sovrano
"Ma dimmi ancora se tu senti altri stimoli che ti attirano verso dio, così che tu manifesti con quanti denti sei morso da questo amore","Ma di’ ancor se tu senti altre corde tirarti verso lui, sì che tu suone con quanti denti questo amor ti morde"
"La santa volontà dell'aquila di cristo non mi fu nascosta, anzi capii subito dove voleva condurre la mia professione di carità","Non fu latente la santa intenzione de l’aguglia di cristo, anzi m’accorsi dove volea menar mia professione"
Dunque ricominciai:,Però ricominciai:
"Tutti quegli stimoli che possono portare il cuore a dio hanno cooperato ad accendere in me la carità:infatti l'esistenza del mondo e di me stesso, la morte di cristo patita per la mia salvezza, ciò che ogni fedele spera come spero io, insieme alla conoscenza delle scritture che ho detto prima, mi hanno tratto dal mare dell'amore mal diretto","Tutti quei morsi che posson far lo cor volgere a dio, a la mia caritate son concorsi: ché l’essere del mondo e l’esser mio, la morte ch’el sostenne perch’io viva, e quel che spera ogne fedel com’io, con la predetta conoscenza viva, tratto m’hanno del mar de l’amor torto, e del diritto m’han posto a la riva"
"Io amo le fronde, tanto quanto esse sono amate da dio","Le fronde onde s’infronda tutto l’orto de l’ortolano etterno, am’io cotanto quanto da lui a lor di bene è porto"
"Non appena smisi di parlare, risuonò nel cielo un canto dolcissimo, mentre la mia donna diceva insieme agli altri beati:","Sì com’io tacqui, un dolcissimo canto risonò per lo cielo, e la mia donna dicea con li altri:"
"Santo, santo, santo","Santo, santo, santo"
"Come a una luce improvvisa ci si sveglia, per la facoltà visiva che corre incontro al bagliore che passa attraverso le membrane dell'occhio, e chi si sveglia non distingue bene ciò che vede, tanto è confuso il suo improvviso destarsi, finché la facoltà percettiva non viene in suo aiuto","E come a lume acuto si disonna per lo spirto visivo che ricorre a lo splendor che va di gonna in gonna, e lo svegliato ciò che vede aborre, sì nescia è la sùbita vigilia fin che la stimativa non soccorre"
"Allo stesso modo beatrice eliminò ogni impurità dai miei occhi col fulgore dei suoi, che risplendeva a mille miglia di distanza:così vidi meglio di prima","Così de li occhi miei ogni quisquilia fugò beatrice col raggio d’i suoi, che rifulgea da più di mille milia: onde mei che dinanzi vidi poi"
E quasi stupefatto domandai chi fosse il quarto lume che vidi insieme a noi,E quasi stupefatto domandai d’un quarto lume ch’io vidi tra noi
E la mia donna:,E la mia donna:
All'interno di quello splendore c'è la prima anima che la prima virtù,Dentro da quei rai vagheggia il suo fattor l’anima prima che la prima virtù creasse mai
"Come l'albero piega la sua cima quando è percosso dal vento, poi si solleva per la propria capacità di ergersi verso l'alto, così feci io mentre beatrice parlava un desiderio di parlare che mi tormentava","Come la fronda che flette la cima nel transito del vento, e poi si leva per la propria virtù che la soblima, fec’io in tanto in quant’ella diceva, stupendo, e poi mi rifece sicuro un disio di parlare ond’io ardeva"
E iniziai a dire:,E cominciai:
"O frutto che, unico, fosti prodotto già maturo, o antico padre al quale ogni donna è figlia e nuora, con tutta la devozione che posso ti supplico di parlarmi: tu vedi il mio desiderio e per udirti presto non te lo manifesto","O pomo che maturo solo prodotto fosti, o padre antico a cui ciascuna sposa è figlia e nuro, divoto quanto posso a te supplìco perché mi parli: tu vedi mia voglia, e per udirti tosto non la dico"
"A volte un animale avvolto da un sacco si dimena, così che manifesta il suo stato d'animo attraverso l'involucro che lo circonda","Talvolta un animal coverto broglia, sì che l’affetto convien che si paia per lo seguir che face a lui la ‘nvoglia"
E in modo simile la prima anima mi faceva capire attraverso la luce che lo fasciava quanto fosse lieta nel potermi rispondere,E similmente l’anima primaia mi facea trasparer per la coverta quant’ella a compiacermi venìa gaia
Quindi disse:,Indi spirò:
Senza che tu me l'abbia espresso io comprendo il tuo desiderio più chiaramente di ogni cosa che ti è certa,"Sanz’essermi proferta da te, la voglia tua discerno meglio che tu qualunque cosa t’è più certa"
"Infatti io lo leggo nello specchio veridico che riflette in sé tutte le cose, mentre nessuna cosa può rifletterlo","Perch’io la veggio nel verace speglio che fa di sé pareglio a l’altre cose, e nulla face lui di sé pareglio"
"Tu vuoi sapere quanto tempo è trascorso da quando dio mi pose nel giardino dell'eden, dove beatrice diede inizio alla tua ascesa in paradiso, e quanto vi rimasi, e la vera causa dell'ira divina, e quale lingua io creai e usai","Tu vuogli udir quant’è che dio mi puose ne l’eccelso giardino, ove costei a così lunga scala ti dispuose, e quanto fu diletto a li occhi miei, e la propria cagion del gran disdegno, e l’idioma ch’usai e che fei"
"Ora, figlio mio, la ragione della mia cacciata dall'eden non fu la gola per aver assaggiato il frutto proibito, ma solo l'aver infranto i divieti divini","Or, figluol mio, non il gustar del legno fu per sé la cagion di tanto essilio, ma solamente il trapassar del segno"
"Dal limbo, da dove la tua donna evocò virgilio, io desiderai di ascendere in cielo per anni","Quindi onde mosse tua donna virgilio, quattromilia trecento e due volumi di sol desiderai questo concilio"
"E vidi il sole percorrere tutti i segni zodiacali per volte, il tempo della mia vita terrena","E vidi lui tornare a tutt’i lumi de la sua strada novecento trenta fiate, mentre ch’io in terra fu’ mi"
"La lingua che io parlai era già scomparsa prima che la gente di nembrod si dedicasse all'opera che non poteva essere completata :infatti nessun prodotto dell'intelletto umano fu mai durevole, a causa dell'arbitrio dell'uomo che si rinnova seguendo le influenze celesti","La lingua ch’io parlai fu tutta spenta innanzi che a l’ovra inconsummabile fosse la gente di nembròt attenta: ché nullo effetto mai razionabile, per lo piacere uman che rinovella seguendo il cielo, sempre fu durabile"
Il fatto che l'uomo parli è cosa naturale,Opera naturale è ch’uom favella
"Ma la natura lascia poi che voi uomini parliate in un modo o nell'altro, a seconda dei vostri desideri e preferenze","Ma così o così, natura lascia poi fare a voi secondo che v’abbella"
"Prima che io scendessi nell'angoscia infernale da cui proviene la gioia che mi avvolge di luce, era chiamato in terra 'i'","Pria ch’i’ scendessi a l’infernale ambascia, i s’appellava in terra il sommo bene onde vien la letizia che mi fascia"
"In seguito venne chiamato 'el': e ciò si accorda all'uso degli uomini, che come la foglia sul ramo va e viene continuamente","E el si chiamò poi: e ciò convene, ché l’uso d’i mortali è come fronda in ramo, che sen va e altra vene"
"Nel monte che si erge maggiormente sul mare, non appena il sole cambia quadrante","Nel monte che si leva più da l’onda, fu’ io, con vita pura e disonesta, da la prim’ora a quella che seconda, come ‘l sol muta quadra, l’ora sesta"
"Tutto il paradiso cominciò a inneggiare 'gloria al padre, al figlio, allo spirito santo', in modo tale che il dolce canto mi inebriava","‘al padre, al figlio, a lo spirito santo’, cominciò, ‘gloria’, tutto ’l paradiso, sì che m’inebriava il dolce canto"
Quello che io vedevo mi sembrava il sorriso dell'universo,Ciò ch’io vedeva mi sembiava un riso de l’universo
Per cui l'ebbrezza penetrava in me attraverso l'udito e la vista,Per che mia ebbrezza intrava per l’udire e per lo viso
Che gioia,Oh gioia
Che letizia indescrivibile,Oh ineffabile allegrezza
Che vita completa d'amore e di pace,Oh vita intègra d’amore e di pace
"Che ricchezza sicura, in grado di appagare ogni desiderio",Oh sanza brama sicura ricchezza
"Davanti ai miei occhi le quattro luci stavano accese, e quella che era giunta per prima iniziò a farsi più rossa, diventando nel suo aspetto tale quale diverrebbe giove, se lui e marte fossero uccelli e si scambiassero le penne","Dinanzi a li occhi miei le quattro face stavano accese, e quella che pria venne incominciò a farsi più vivace, e tal ne la sembianza sua divenne, qual diverrebbe iove, s’elli e marte fossero augelli e cambiassersi penne"
"La provvidenza, che in cielo suddivide per ognuno gli incarichi, aveva posto silenzio al coro dei beati in ogni punto, quando io sentii:","La provedenza, che quivi comparte vice e officio, nel beato coro silenzio posto avea da ogne parte, quand’io udi’:"
"Se io cambio colore, non stupirti, dal momento che alle mie parole vedrai fare lo stesso a tutti questi beati","Se io mi trascoloro, non ti maravigliar, ché, dicend’io, vedrai trascolorar tutti costoro"
Colui in una fogna dove si raccolgono il sangue e la puzza,"Quelli ch’usurpa in terra il luogo mio, il luogo mio, il luogo mio, che vaca ne la presenza del figliuol di dio, fatt’ha del cimitero mio cloaca del sangue e de la puzza"
"Per cui il malvagio che cadde da quassù, laggiù ne gode","Onde ’l perverso che cadde di qua sù, là giù si placa"
"Io vidi allora tutto il cielo cosparso di quel colore che le nubi assumono per il sole opposto, a sera e al mattino","Di quel color che per lo sole avverso nube dipigne da sera e da mane, vid’io allora tutto ’l ciel cosperso"
"E come una donna onesta che resta sicura di sé e ascoltando le parole peccaminose di altri arrossisce, così beatrice mutò aspetto","E come donna onesta che permane di sé sicura, e per l’altrui fallanza, pur ascoltando, timida si fane, così beatrice trasmutò sembianza"
"E credo che in cielo ci fu una tale eclissi, il giorno in cui morì cristo","E tale eclissi credo che ’n ciel fue, quando patì la supprema possanza"
"Poi le parole di san pietro proseguirono, con una voce così alterata che il suo aspetto non mutò maggiormente","Poi procedetter le parole sue con voce tanto da sé trasmutata, che la sembianza non si mutò piùe:"
"La sposa di cristo non fu nutrita col sangue mio, di lino, di anacleto, per essere usata per arricchirsi","Non fu la sposa di cristo allevata del sangue mio, di lin, di quel di cleto, per essere ad acquisto d’oro usata"
"Ma sisto, pio, calisto e urbano sparsero il loro sangue, dopo molto pianto, per guadagnare questa vita beata",Ma per acquisto d’esto viver lieto e sisto e pio e calisto e urbano sparser lo sangue dopo molto fleto
"La nostra intenzione non era che il popolo cristiano sedesse in parte alla destra, e in parte alla sinistra dei nostri successori","Non fu nostra intenzion ch’a destra mano d’i nostri successor parte sedesse, parte da l’altra del popol cristiano"
Né che le chiavi che mi furono concesse diventassero simbolo su vessilli usati per combattere gente battezzata,"Né che le chiavi che mi fuor concesse, divenisser signaculo in vessillo che contra battezzati combattesse"
"Né che la mia effigie comparisse sul sigillo di privilegi falsificati e venduti, cosa per cui io spesso arrossisco e fremo di sdegno","Né ch’io fossi figura di sigillo a privilegi venduti e mendaci, ond’io sovente arrosso e disfavillo"
"Da quassù si vedono per tutti i pascoli dei lupi famelici nelle vesti di pastori: o vendetta divina, perché tardi ad arrivare","In vesta di pastor lupi rapaci si veggion di qua sù per tutti i paschi: o difesa di dio, perché pur giaci"
"Papi originari di cahors : o nobile principio, come sei destinato a cadere in basso","Del sangue nostro caorsini e guaschi s’apparecchian di bere: o buon principio, a che vil fine convien che tu caschi"
"Ma la provvidenza divina, che con scipione difese a roma la gloria del mondo, interverrà presto, così come io prevedo","Ma l’alta provedenza, che con scipio difese a roma la gloria del mondo, soccorrà tosto, sì com’io concipio"
"E tu, figliolo, che tornerai sulla terra col tuo corpo mortale, apri la bocca e non nascondere ciò che io non ti nascondo","E tu, figliuol, che per lo mortal pondo ancor giù tornerai, apri la bocca, e non asconder quel ch’io non ascondo"
"Come il nostro cielo fa cadere in basso i fiocchi di neve, quando il corno della capra del cielo, così io vidi il cielo diventare brillante e fioccare verso l'alto i beati trionfanti che si erano trattenuti qui con noi","Sì come di vapor gelati fiocca in giuso l’aere nostro, quando ’l corno de la capra del ciel col sol si tocca, in sù vid’io così l’etera addorno farsi e fioccar di vapor triunfanti che fatto avien con noi quivi soggiorno"
"Il mio sguardo seguiva quelle luci e le seguì finché la distanza, che era notevole, gli impedì di spingersi più oltre","Lo viso mio seguiva i suoi sembianti, e seguì fin che ’l mezzo, per lo molto, li tolse il trapassar del più avanti"
"Allora la donna, che vide che avevo cessato di guardare verso l'alto, mi disse:","Onde la donna, che mi vide assolto de l’attendere in sù, mi disse:"
China lo sguardo e osserva quanto tu hai ruotato con questo cielo,Adima il viso e guarda come tu se’ vòlto
"Dal momento in cui avevo guardato la prima volta, compresi che mi ero mosso per tutto l'arco meridiano che va dal centro alla fine del primo clima",Da l’ora ch’io avea guardato prima i’ vidi mosso me per tutto l’arco che fa dal mezzo al fine il primo clima
Sicché io vedevo a occidente di cadice il folle varco di ulisse e a oriente la costa della fenicia dove europa cavalcò giove tramutato in toro,"Sì ch’io vedea di là da gade il varco folle d’ulisse, e di qua presso il lito nel qual si fece europa dolce carco"
E mi sarebbe stata mostrata una parte maggiore di questa aiuola,E più mi fora discoverto il sito di questa aiuola
"La mia mente innamorata, che vagheggia sempre la mia donna, desiderava più che mai di riportare a lei lo sguardo","La mente innamorata, che donnea con la mia donna sempre, di ridure ad essa li occhi più che mai ardea"
"E se mai la natura o l'arte produssero opere tanto belle, nei corpi umani o nei dipinti, da attirare lo sguardo per sedurre la mente, tutte radunate insieme sembrerebbero poca cosa rispetto alla bellezza divina di beatrice che splendette a me, quando mi rivolsi al suo viso sorridente","E se natura o arte fé pasture da pigliare occhi, per aver la mente, in carne umana o ne le sue pitture, tutte adunate, parrebber niente ver’ lo piacer divin che mi refulse, quando mi volsi al suo viso ridente"
"E la virtù che s'irradiò a me dal suo sguardo mi portò via dalla costellazione dei gemelli, spingendomi nel cielo più veloce","E la virtù che lo sguardo m’indulse, del bel nido di leda mi divelse, e nel ciel velocissimo m’impulse"
"Le sue parti luminosissime e altissime sono così uniformi, che io non saprei dire in quale di esse beatrice mi fece penetrare","Le parti sue vivissime ed eccelse sì uniforme son, ch’i’ non so dire qual beatrice per loco mi scelse"
"Lei, tuttavia, che vedeva il mio desiderio, iniziò a dire, sorridendo con tale gioia che sembrava che dio si allietasse nel suo viso","Ma ella, che vedea ‘l mio disire, incominciò, ridendo tanto lieta, che dio parea nel suo volto gioire:"
"La natura dell'universo, che tiene la terra al centro, immobile, e fa ruotare tutto il resto intorno, comincia da qui come suo principio e sua fine","La natura del mondo, che quieta il mezzo e tutto l’altro intorno move, quinci comincia come da sua meta"
"E questo cielo non ha nessun'altra collocazione se non la mente di dio, in cui si accendono l'amore che lo fa ruotare e la virtù che esso esercita","E questo cielo non ha altro dove che la mente divina, in che s’accende l’amor che ‘l volge e la virtù ch’ei piove"
"La luce e l'amore divino lo circondano, proprio come questo cielo circonda gli altri","Luce e amor d’un cerchio lui comprende, sì come questo li altri"
E quell'involucro è compreso solamente da colui che lo cinge,E quel precinto colui che ‘l cinge solamente intende
"Il suo movimento non è misurato dagli altri, ma gli altri moti sono commisurato a questo, come il dieci lo è dal cinque e dal due","Non è suo moto per altro distinto, ma li altri son mensurati da questo, sì come diece da mezzo e da quinto"
"E ormai ti può essere chiaro come il tempo abbia le sue radici in questo vaso, e negli altri cieli le sue foglie","E come il tempo tegna in cotal testo le sue radici e ne li altri le fronde, omai a te può esser manifesto"
"Oh, cupidigia che immergi i mortali sotto di te, al punto che nessuno riesce a spingere lo sguardo fuori dalle tue onde","Oh cupidigia che i mortali affonde sì sotto te, che nessuno ha podere di trarre li occhi fuor de le tue onde"
La buona volontà fiorisce negli uomini,Ben fiorisce ne li uomini il volere
Ma la continua pioggia trasforma le vere susine in frutti vuoti e guasti,Ma la pioggia continua converte in bozzacchioni le sosine vere
Fede e innocenza si ritrovano solo nei fanciulli,Fede e innocenza son reperte solo ne’ parvoletti
"Poi esse fuggono via, prima che le guance siano coperte di pelo",Poi ciascuna pria fugge che le guance sian coperte
"Alcuni, quando ancora non sanno parlare, osservano i digiuni religiosi, poi, quando hanno la lingua sciolta, divorano qualunque cibo in qualunque periodo dell'anno:altri","Tale, balbuziendo ancor, digiuna, che poi divora, con la lingua sciolta, qualunque cibo per qualunque luna"
"Quando ancora non sanno parlare, amano e rispettano la propria madre, mentre quando diventano grandi desiderano vederla morta","E tal, balbuziendo, ama e ascolta la madre sua, che, con loquela intera, disia poi di vederla sepolta"
"Così la pelle bianca diventa scura al primo apparire dell'aurora, figlia di iperione, colui che porta il mattino e fa cessare la sera",Così si fa la pelle bianca nera nel primo aspetto de la bella figlia di quel ch’apporta mane e lascia sera
"Tu, per non stupirti troppo, pensa che sulla terra manca una autorità di governo","Tu, perché non ti facci maraviglia, pensa che ’n terra non è chi governi"
Per cui l'umanità viene sviata,Onde sì svia l’umana famiglia
"Ma prima che gennaio esca del tutto dall'inverno per la centesima parte del giorno che è trascurata sulla terra, queste ruote celesti irradieranno il mondo a tal punto che la provvidenza, che è tanto attesa, volgerà le poppe dove ora sono le prue, cosicché la flotta tornerà sulla giusta rotta","Ma prima che gennaio tutto si sverni per la centesma ch’è là giù negletta, raggeran sì questi cerchi superni, che la fortuna che tanto s’aspetta, le poppe volgerà u’ son le prore, sì che la classe correrà diretta"
E il fiore tornerà a produrre un vero frutto,E vero frutto verrà dopo ’l fiore
"Dopo che colei e si volta per accertarsi se lo specchio dice la verità, e vede che l'immagine e la realtà si accordano come il canto con la musica","Poscia che ‘ncontro a la vita presente d’i miseri mortali aperse ‘l vero quella che ‘mparadisa la mia mente, come in lo specchio fiamma di doppiero vede colui che se n’alluma retro, prima che l’abbia in vista o in pensiero, e sé rivolge per veder se ‘l vetro li dice il vero, e vede ch’el s’accorda con esso come nota con suo metro"
Così la mia mente si ricorda che io feci guardando nei begli occhi,Così la mia memoria si ricorda ch’io feci riguardando ne’ belli occhi onde a pigliarmi fece amor la corda
"E non appena io mi voltai e i miei occhi scorsero ciò che appare in quel cielo, ogni volta che si osservi con attenzione nella sua sfera, vidi un punto che emanava una luce tanto intensa che per il suo splendore occorre chiudere gli occhi che ne sono colpiti","E com’io mi rivolsi e furon tocchi li miei da ciò che pare in quel volume, quandunque nel suo giro ben s’adocchi, un punto vidi che raggiava lume acuto sì, che ‘l viso ch’elli affoca chiuder conviensi per lo forte acume"
"E ogni stella che sembri più fioca, diventerebbe una luna se paragonata a quel punto, come due stelle sono accanto nel cielo","E quale stella par quinci più poca, parrebbe luna, locata con esso come stella con stella si collòca"
"Forse, quanto un alone sembra circondare da vicino l'astro che lo fa apparire quando l'atmosfera è pregna di spessi vapori, tutt'intorno a quel punto un cerchio fiammeggiante ruotava così velocemente che avrebbe superato il movimento del primo mobile che racchiude il mondo","Forse cotanto quanto pare appresso alo cigner la luce che ‘l dipigne quando ‘l vapor che ‘l porta più è spesso, distante intorno al punto un cerchio d’igne si girava sì ratto, ch’avria vinto quel moto che più tosto il mondo cigne"
"E questo cerchio era circondato da un altro, e quello da un terzo, e il terzo poi da un quarto, il quarto da un quinto e il quinto da un sesto","E questo era d’un altro circumcinto, e quel dal terzo, e ‘l terzo poi dal quarto, dal quinto il quarto, e poi dal sesto il quinto"
"Più all'esterno ce n'era un settimo, talmente esteso che il messaggero di giunone, benché tutto intero, sarebbe troppo piccolo per contenerlo","Sopra seguiva il settimo sì sparto già di larghezza, che ‘l messo di iuno intero a contenerlo sarebbe arto"
Così l'ottavo e il nono cerchio,Così l’ottavo e ‘l nono
"E ognuno di essi era tanto più lento, quanto più il numero d'ordine che occupava era superiore ad uno","E chiascheduno più tardo si movea, secondo ch’era in numero distante più da l’uno"
"E il cerchio che aveva la fiamma più splendente era quello più vicino al punto luminoso, perché - credo - si sostanziava maggiormente della sua verità","E quello avea la fiamma più sincera cui men distava la favilla pura, credo, però che più di lei s’invera"
"La mia donna, che mi vedeva tormentato da un forte dubbio, disse:","La donna mia, che mi vedea in cura forte sospeso, disse:"
Da quel punto dipende il cielo e l'interno universo,Da quel punto depende il cielo e tutta la natura
Osserva quel cerchio che gli è più vicino,Mira quel cerchio che più li è congiunto
Sappi che il suo movimento è tanto veloce a causa dell'amore ardente che lo stimola,E sappi che ‘l suo muovere è sì tosto per l’affocato amore ond’elli è punto
E io a lei:,E io a lei:
"Se l'universo avesse lo stesso ordine che io vedo in quei cerchi, ciò che mi è stato detto mi avrebbe soddisfatto","Se ‘l mondo fosse posto con l’ordine ch’io veggio in quelle rote, sazio m’avrebbe ciò che m’è proposto"
Ma nel mondo sensibile si può constatare che le sfere celesti sono tanto più perfette quanto più lontane sono dalla terra,"Ma nel mondo sensibile si puote veder le volte tanto più divine, quant’elle son dal centro più remote"
"Dunque, se io devo soddisfare ogni mio desiderio di conoscenza in questo mirabile tempio degli angeli come suo confine, è necessario che io comprenda come mai la copia e il modello sono discordanti, in quanto io vanamente cerco di risolvere la questione","Onde, se ‘l mio disir dee aver fine in questo miro e angelico templo che solo amore e luce ha per confine, udir convienmi ancor come l’essemplo e l’essemplare non vanno d’un modo, ché io per me indarno a ciò contemplo"
"Se le tue dita non sono in grado di sciogliere questo nodo, non c'è da stupirsi: a tal punto esso è stretto, poiché nessuno ha mai tentato di sbrogliarlo","Se li tuoi diti non sono a tal nodo sufficienti, non è maraviglia: tanto, per non tentare, è fatto sodo"
Così disse la mia donna,Così la donna mia
Poi aggiunse:,Poi disse:
"Ascolta quello che ti dirò, se vuoi saziarti, e aguzza la tua mente sulle mie parole","Piglia quel ch’io ti dicerò, se vuo’ saziarti, e intorno da esso t’assottiglia"
"Le sfere celesti, che sono corpi fisici, sono grandi o piccole a seconda della maggiore o minore virtù che si estende in ogni loro parte",Li cerchi corporai sono ampi e arti secondo il più e ‘l men de la virtute che si distende per tutte lor parti
Un maggior bene produce una maggiore salvezza,Maggior bontà vuol far maggior salute
"Maggiore salvezza è contenuta in un corpo più esteso, se esso è perfetto in ogni suo punto","Maggior salute maggior corpo cape, s’elli ha le parti igualmente compiute"
"Dunque, questo cielo tra ogni cielo e la sua intelligenza angelica","Dunque costui che tutto quanto rape l’altro universo seco, corrisponde al cerchio che più ama e che più sape: per che, se tu a la virtù circonde la tua misura, non a la parvenza de le sustanze che t’appaion tonde, tu vederai mirabil consequenza di maggio a più e di minore a meno, in ciascun cielo, a sua intelligenza"
"Come l'emisfero dell'atmosfera resta terso e sereno, quando borea soffia da quella guancia da cui spira un vento più dolce, grazie al quale viene spazzata via ogni impurità che prima turbava il cielo e questo sorride con le bellezze di ogni sua parte","Come rimane splendido e sereno l’emisperio de l’aere, quando soffia borea da quella guancia ond’è più leno, per che si purga e risolve la roffia che pria turbava, sì che ‘l ciel ne ride con le bellezze d’ogne sua paroffia"
"Così feci io, dopo che la mia donna mi rispose con il suo chiaro discorso, e la verità fu visibile come una stella in cielo","Così fec’io, poi che mi provide la donna mia del suo risponder chiaro, e come stella in cielo il ver si vide"
"E dopo la fine delle sue parole, i cerchi sfavillarono come un ferro incandescente che sprizza scintille","E poi che le parole sue restaro, non altrimenti ferro disfavilla che bolle, come i cerchi sfavillaro"
Ogni scintilla seguiva il cerchio fiammeggiante,L’incendio suo seguiva ogne scintilla
Ed erano così tante che il loro numero entra nelle migliaia più del raddoppiare delle caselle del gioco degli scacchi,"Ed eran tante, che ‘l numero loro più che ‘l doppiar de li scacchi s’inmilla"
"Io sentivo intonare 'osanna' di coro in coro, verso il punto fisso che li tiene e sempre li terrà in quella posizione in cui sempre furono","Io sentiva osannar di coro in coro al punto fisso che li tiene a li ubi, e terrà sempre, ne’ quai sempre fuoro"
"E colei che vedeva i pensieri dubbiosi nella mia mente, disse:","E quella che vedea i pensier dubi ne la mia mente, disse:"
I primi cerchi ti hanno mostrato i serafini e i cherubini,I cerchi primi t’hanno mostrato serafi e cherubi
Seguono così velocemente il loro legame d'amore con dio per rendersi simili quanto più possono al punto centrale,"Così veloci seguono i suoi vimi, per somigliarsi al punto quanto ponno"
E lo possono fare in quanto la loro visione divina è la più elevata,E posson quanto a veder son soblimi
"Quegli altri esseri angelici che gli girano intorno e che fin dalla loro creazione chiusero la prima gerarchia, si chiamano troni dell'aspetto divino","Quelli altri amori che ‘ntorno li vonno, si chiaman troni del divino aspetto, per che ‘l primo ternaro terminonno"
"E devi sapere che tutti provano una gioia commisurata alla profondità della loro visione di dio, cioè quella verità in cui si acquieta ogni intelletto",E dei saper che tutti hanno diletto quanto la sua veduta si profonda nel vero in che si queta ogne intelletto
"Da qui si può vedere come la beatitudine si fonda nella fruizione della visione divina, e non nell'amore che è un atto conseguente","Quinci si può veder come si fonda l’essere beato ne l’atto che vede, non in quel ch’ama, che poscia seconda"
E la profondità di tale visione è la ricompensa che è prodotta dalla grazia e dalla buona volontà: così si procede da un ordine angelico all'altro,"E del vedere è misura mercede, che grazia partorisce e buona voglia: così di grado in grado si procede"
